Timestamp,1. Date,2. Time,3. Cameron Basement: Enter the number of people,4. Cameron Main Floor:  Enter the number of people,5. Anything to note? Please share with Library staff any concerns or issues you observed during your shift. 
"Tuesday, May 16, 2023 at 7:30:10 PM",5/16/2023,7:30 pm,33,11,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Tuesday, May 16, 2023 at 8:30:27 PM",5/16/2023,8:30 pm,11,5,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Tuesday, May 16, 2023 at 9:31:25 PM",5/16/2023,9:30 pm,9,2,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Wednesday, May 17, 2023 at 6:30:51 PM",5/17/2023,6:30 pm,42,26,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Wednesday, May 17, 2023 at 7:27:21 PM",5/17/2023,7:30 pm,32,17,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Wednesday, May 17, 2023 at 8:36:09 PM",5/17/2023,8:30 pm,24,7,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Wednesday, May 17, 2023 at 9:28:52 PM",5/17/2023,9:30 pm,16,7,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Thursday, May 18, 2023 at 6:36:15 PM",5/18/2023,6:30 pm,18,13,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Thursday, May 18, 2023 at 7:28:50 PM",5/18/2023,7:30 pm,18,10,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Thursday, May 18, 2023 at 8:33:44 PM",5/18/2023,8:30 pm,19,6,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Thursday, May 18, 2023 at 9:29:18 PM",5/18/2023,9:30 pm,6,2,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, May 19, 2023 at 5:35:00 PM",5/19/2023,5:30 pm (Fri - Sat - Sun only),13,22,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, May 19, 2023 at 6:32:55 PM",5/19/2023,6:30 pm,13,17,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, May 19, 2023 at 7:31:14 PM",5/19/2023,7:30 pm,13,12,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, May 19, 2023 at 8:30:16 PM",5/19/2023,8:30 pm,10,4,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, May 19, 2023 at 9:25:44 PM",5/19/2023,9:30 pm,5,2,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Saturday, May 20, 2023 at 5:26:32 PM",5/20/2023,5:30 pm (Fri - Sat - Sun only),17,1,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Saturday, May 20, 2023 at 6:33:32 PM",5/20/2023,6:30 pm,13,0,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Saturday, May 20, 2023 at 7:39:45 PM",5/20/2023,7:30 pm,10,1,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Saturday, May 20, 2023 at 8:39:55 PM",5/20/2023,8:30 pm,5,1,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Saturday, May 20, 2023 at 9:28:25 PM",2/20/2023,9:30 pm,3,1,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
